iteration,score,profit,units
104,709962.0,3588.0,24271
105,704044.0,3556.0,24152
106,699853.0,3547.0,24068
107,691513.0,3487.0,23900
108,691091.0,3559.0,23893
109,691031.0,3619.0,23893
110,679226.0,3524.0,23655
111,679226.0,3524.0,23655
112,679226.0,3524.0,23655
113,679226.0,3524.0,23655
114,679226.0,3524.0,23655
115,679226.0,3524.0,23655
116,679226.0,3524.0,23655
117,667420.0,3430.0,23417
118,667420.0,3430.0,23417
119,667387.0,3463.0,23417
120,654861.0,3389.0,23165
121,654861.0,3389.0,23165
122,651379.0,3371.0,23095
123,645461.0,3339.0,22976
124,644615.0,3485.0,22962
125,632780.0,3420.0,22724
126,632780.0,3420.0,22724
127,620975.0,3325.0,22486
128,620975.0,3325.0,22486
129,620975.0,3325.0,22486
130,620975.0,3325.0,22486
131,609061.0,3239.0,22246
132,605931.0,3219.0,22183
133,591306.0,3144.0,21889
134,584692.0,3108.0,21756
135,584632.0,3168.0,21756
136,575671.0,3129.0,21576
137,566709.0,3091.0,21396
138,566287.0,3163.0,21389
139,560030.0,3120.0,21263
140,560030.0,3120.0,21263
141,560030.0,3120.0,21263
142,560030.0,3120.0,21263
143,560030.0,3120.0,21263
144,556679.0,3121.0,21196
145,556679.0,3121.0,21196
146,556679.0,3121.0,21196
147,556679.0,3121.0,21196
148,556679.0,3121.0,21196
149,549375.0,3075.0,21049
150,549255.0,3195.0,21049
151,543352.0,3148.0,20930
152,543352.0,3148.0,20930
153,537986.0,3114.0,20822
154,537986.0,3114.0,20822
155,533218.0,3082.0,20726
156,532451.0,3149.0,20712
157,530722.0,3128.0,20677
158,517517.0,3033.0,20411
159,510903.0,2997.0,20278
160,510903.0,2997.0,20278
161,506429.0,2971.0,20188
162,493201.0,2899.0,19922
163,484274.0,2826.0,19742
164,484274.0,2826.0,19742
165,484274.0,2826.0,19742
166,484274.0,2826.0,19742
167,479506.0,2794.0,19646
168,479506.0,2794.0,19646
169,473579.0,2771.0,19527
170,473542.0,2808.0,19527
171,473542.0,2808.0,19527
172,473542.0,2808.0,19527
173,471770.0,2830.0,19492
174,471770.0,2830.0,19492
175,471770.0,2830.0,19492
176,471770.0,2830.0,19492
177,469676.0,2824.0,19450
178,469676.0,2824.0,19450
179,469676.0,2824.0,19450
180,469676.0,2824.0,19450
181,463773.0,2777.0,19331
182,463773.0,2777.0,19331
183,452830.0,2720.0,19111
184,441024.0,2626.0,18873
185,434762.0,2588.0,18747
186,434757.0,2593.0,18747
187,433714.0,2586.0,18726
188,419089.0,2511.0,18432
189,418033.0,2517.0,18411
190,415700.0,2500.0,18364
191,415700.0,2500.0,18364
192,415345.0,2505.0,18357
193,414579.0,2571.0,18343
194,409518.0,2532.0,18241
195,409518.0,2532.0,18241
196,409518.0,2532.0,18241
197,409501.0,2549.0,18241
198,407967.0,2683.0,18213
199,407967.0,2683.0,18213
200,403787.0,2663.0,18129
201,403787.0,2663.0,18129
202,394860.0,2590.0,17949
203,394860.0,2590.0,17949
204,383055.0,2495.0,17711
205,375743.0,2457.0,17564
206,363938.0,2362.0,17326
207,363938.0,2362.0,17326
208,363938.0,2362.0,17326
209,352133.0,2267.0,17088
210,352133.0,2267.0,17088
