Store,Experiment,Model,MAE,RMSE,MAPE,NMAE
Philadelphia,A_Temporal_Base,Seasonal Naive,94.7268115942029,237.18817941377938,37.014740083893734,41.932413762574704
Philadelphia,B_Sales_Dynamics,Seasonal Naive,94.7268115942029,237.18817941377938,37.014740083893734,41.932413762574704
Philadelphia,C_Context_Expert,Seasonal Naive,94.7268115942029,237.18817941377938,37.014740083893734,41.932413762574704
Richmond,C_Context_Expert,Ensemble (Top-3 Experts),8.769961503442875,11.579689186047348,15.23541771187993,13.655906205643067
Richmond,C_Context_Expert,Random Forest,8.332535507246378,12.831518540921595,14.204890733480067,12.974780253878704
Richmond,C_Context_Expert,Prophet,12.643920928949923,15.73139778183913,24.172540210060216,19.688136397123714
Richmond,C_Context_Expert,SARIMAX,12.336776712184449,16.148165448907402,21.782782252261658,19.209875162555193
Richmond,C_Context_Expert,Linear Regression,13.236714583021104,17.70658983040216,23.53225395134668,20.61118885705966
Richmond,B_Sales_Dynamics,Ensemble (Top-3 Experts),17.995109891059347,32.31071799687823,31.537150529043235,28.02059424503458
Richmond,B_Sales_Dynamics,Prophet,21.693784618852646,35.101713881329395,36.26155826984736,33.77988465333331
Richmond,B_Sales_Dynamics,Random Forest,22.772032608695653,35.42212332496949,47.82677759589614,35.458849083215796
Richmond,A_Temporal_Base,Random Forest,19.584697584541065,37.37161713981863,30.309337296176647,30.49577733897508
Richmond,A_Temporal_Base,Ensemble (Top-3 Experts),20.97681325762909,37.760988274397995,30.12143470166817,32.66347226575813
Richmond,B_Sales_Dynamics,Linear Regression,17.840183527013494,39.24333921678694,25.48749579268435,27.77935488550479
Richmond,A_Temporal_Base,Prophet,27.672660182467506,42.32732881578629,42.992099746847664,43.08972756198043
Richmond,A_Temporal_Base,Linear Regression,22.599950088799684,44.05750209570463,31.26040579999636,35.190895483829124
Richmond,A_Temporal_Base,SARIMAX,24.77796814033877,44.549314456736056,34.401420240031946,38.582336850400566
Richmond,A_Temporal_Base,Holt-Winters,27.238577411502522,52.06403848625169,39.666993439486866,42.41380742214215
Richmond,B_Sales_Dynamics,Holt-Winters,27.238577411502522,52.06403848625169,39.666993439486866,42.41380742214215
Richmond,C_Context_Expert,Holt-Winters,27.238577411502522,52.06403848625169,39.666993439486866,42.41380742214215
Richmond,B_Sales_Dynamics,SARIMAX,43.39227329953421,67.59785506674068,68.55046417563625,67.56709410816046
Richmond,A_Temporal_Base,Seasonal Naive,27.22463768115942,68.81620659303353,36.84545984273935,42.39210155148096
Richmond,B_Sales_Dynamics,Seasonal Naive,27.22463768115942,68.81620659303353,36.84545984273935,42.39210155148096
Richmond,C_Context_Expert,Seasonal Naive,27.22463768115942,68.81620659303353,36.84545984273935,42.39210155148096
