Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX
2014-03-10,42364.0,29661.0,30397.391944180108,48287.32,31872.6911012752,27249.053357000274,29621.91533224046
2014-03-11,32625.0,30804.0,36602.120987596114,59530.94,25786.160039554947,26613.733443247278,31574.891723697845
2014-03-12,32704.0,32668.0,34372.59137471474,49420.64,23092.902650895496,25924.49931398246,27064.96171229276
2014-03-13,31822.0,40452.0,36769.89057010662,50286.87,29038.065134143933,28114.538565764327,37915.46563418949
2014-03-14,41783.0,30147.0,36202.15429982898,49502.32,33899.54749091377,31484.554195214172,41039.86479050973
2014-03-15,42210.0,43578.0,44056.47961454415,62688.2501,42811.9561089324,45045.48972498768,43883.613091632775
2014-03-16,43200.0,32921.0,44458.53043890256,60553.740099999995,34642.96672902991,31883.574931964806,34300.81058095951
2014-03-17,38388.0,42364.0,37715.04315667213,60828.23,31348.301455712208,29846.039194084053,29276.411616706195
2014-03-18,32568.0,32625.0,35895.32747424605,60003.71,25261.77039399196,24924.794550522856,35724.32918280422
2014-03-19,35232.0,32704.0,34927.3264306129,49771.46,22568.51300533251,26201.728850127307,26781.594024037928
2014-03-20,32948.0,31822.0,37631.1434210029,49780.77,28513.675488580942,29343.272143501512,36452.543799825835
2014-03-21,30500.0,41783.0,39409.81151243534,51008.92,33375.157845350775,31596.865320056924,41150.18406826006
2014-03-22,43841.0,42210.0,39137.01698749393,53716.85,42287.56646336941,42271.478470239526,41700.5702613921
2014-03-23,30775.0,43200.0,46304.30251157724,60302.5001,34118.57708346692,34198.75846021011,36011.958241795575
2014-03-24,35433.0,38388.0,30908.350509837226,48853.18,30823.91181014922,28180.690901487695,29991.493309967467
2014-03-25,33959.0,32568.0,33538.8873503607,48967.18,24737.380748428965,26902.016929582132,36842.61718145426
2014-03-26,30864.0,35232.0,34790.163171922184,49779.01,22044.123359769517,29693.198398437846,28963.06626948678
2014-03-27,27104.28,32948.0,34391.15001813244,49753.11,27989.285843017955,31143.467560738536,37422.798948784824
2014-03-28,48764.0,30500.0,33486.79765188829,49669.11,32850.76819978779,33445.49275894073,47392.401878449404
2014-03-29,46627.0,43841.0,46007.36338858867,61205.37,41763.17681780642,51722.858515821674,45526.533246263476
2014-03-30,37544.0,30775.0,45096.71484969395,57665.9601,33594.18743790393,37342.00273201474,40492.767771000654
2014-03-31,36594.0,35433.0,33530.55467456418,59001.62,30299.52216458623,31207.616621713423,28439.773515872876
2014-04-01,29111.0,33959.0,34976.59795054244,56352.83,24212.991102865977,27781.95641010093,37538.50796077137
2014-04-02,31723.0,30864.0,32536.341537493325,48372.25,21519.733714206526,28467.19114055705,28335.507268607093
2014-04-03,35000.0,27104.28,34732.436929172574,48257.16,27464.896197454964,31244.21552359186,38724.81968153692
2014-04-04,38267.0,48764.0,40787.10170762449,51269.47,32326.378554224793,34305.93793298862,44084.4365327589
2014-04-05,39104.0,46627.0,43202.03419573014,64205.810099999995,41238.78717224343,45827.11221567255,43932.43628342744
2014-04-06,32669.0,37544.0,44013.443210145335,61110.100099999996,33069.79779234094,32161.690837997456,34471.02649712455
2014-04-07,31464.0,36594.0,32154.420404642784,48879.41,29775.132519023242,27557.694341077233,31172.445366381507
2014-04-08,35668.0,29111.0,31941.01554291141,48921.56,23688.60145730299,23464.680881721204,34126.46653145087
2014-04-09,44241.0,31723.0,36004.88046908894,50140.21,20995.34406864354,27143.81425739619,30084.165601050026
2014-04-10,31363.0,35000.0,41836.07752982818,59594.39,26940.506551891973,31472.227572489355,37900.34154233978
2014-04-11,37368.0,38267.0,37970.818913774754,49846.45,31801.988908661806,29259.825639290524,40027.296339763154
2014-04-12,35179.0,39104.0,42005.9649351199,60779.670099999996,40714.39752668044,41439.057578978114,39906.959547601735
2014-04-13,40109.0,32669.0,41637.115792294426,51703.08,32545.408146777947,26693.914816099445,35026.73781518292
2014-04-14,35733.0,31464.0,35177.91353205612,59382.21,29250.74287346025,25595.21712410151,28382.131888723976
2014-04-15,36752.0,35668.0,35673.22820910682,49345.52,23164.211811739995,19412.30577100252,32460.026147805474
2014-04-16,30683.0,44241.0,38625.02420076519,60193.98,20470.954423080548,22495.091239095556,29917.030005891524
2014-04-17,41618.0,31363.0,35464.99824615124,49997.46,26416.116906328985,22570.970365046243,34592.222894691535
2014-04-18,58069.0,37368.0,42732.261224832684,59380.77,31277.599263098815,28787.709549663618,46828.41963684703
2014-04-19,47013.0,35179.0,50689.36118348115,56692.94,40190.007881117446,45374.109915749046,50095.67625176137
2014-04-20,30812.0,40109.0,48749.251319545845,58725.280099999996,32021.018501214956,26498.12475486067,42353.39511734084
2014-04-21,41069.0,35733.0,31925.951559458346,47238.87,28726.35322789726,19029.58742238076,38886.14104076208
2014-04-22,32370.0,36752.0,38154.765137065035,59456.69,22639.822166177008,19031.754264125982,33533.93849098448
2014-04-23,33575.0,30683.0,34914.054564759404,48447.55,19946.56477751756,19393.844169442473,29169.79194475824
2014-04-24,30431.0,41618.0,38412.04917951051,50006.55,25891.727260765994,21731.966318410035,37460.43831188102
2014-04-25,41945.0,58069.0,39631.819296371534,53751.37,30753.209617535827,24704.98917957313,39561.59177597022
2014-04-26,44658.0,47013.0,44680.849456382064,63737.060099999995,39665.61823555446,39856.84935850849,40723.56044636838
2014-04-27,41867.0,30812.0,45423.30549992987,58336.8401,31496.62885565197,27724.64046591253,33543.13753312398
2014-04-28,33916.0,41069.0,37362.25860665216,60912.02,28201.963582334272,24203.823809814963,28624.68892904155
2014-04-29,34440.0,32370.0,34084.3496530276,48510.12,22115.43252061402,18606.37981496733,33462.12482556309
2014-04-30,34789.0,33575.0,36083.9042382349,49515.48,19422.17513195457,22372.410615608936,26958.792469776352
2014-05-01,35608.0,30431.0,37906.36304153665,50161.41,25367.337615203003,25678.38575927616,35862.6892203999
2014-05-02,37658.0,41945.0,41551.95677423451,51298.57,30228.819971972836,28951.448980081102,40965.57474832168
2014-05-03,32217.0,44658.0,44019.76901571524,64913.7301,39141.22858999147,40951.4998937278,41489.799007082736
2014-05-04,31154.0,41867.0,42420.23981991194,54927.78,30972.239210088977,26505.6617403715,36037.361799244216
2014-05-05,31095.0,33916.0,31912.116340743298,49843.41,27677.57393677128,25219.181073695334,31163.66036003158
2014-05-06,35453.0,34440.0,33169.04407294111,49994.07,21591.042875051025,22604.31050359264,36182.36312483708
2014-05-07,28961.0,34789.0,36537.473308316126,50823.2,18897.785486391578,28095.12834358871,30542.74351316572
2014-05-08,36191.0,35608.0,34894.880898982636,50394.05,24842.947969640016,28813.767619663988,33816.11760582474
2014-05-09,39915.0,37658.0,39632.85201879001,50872.75,29704.430326409845,35129.23459554744,47130.06411436426
2014-05-10,33740.0,32217.0,42011.319950825564,62120.8201,38616.838944428484,47460.536749674284,46163.78317466262
2014-05-11,36898.0,31154.0,40868.56201266218,52551.6,30447.849564525986,31828.82652105681,36991.66355582991
