Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX
2014-03-03,16336.0,13689.0,16041.306224019714,20063.19,17835.77609214627,19575.923203033723,15132.69793626632
2014-03-04,14575.0,17019.0,16541.722303789684,19912.92,15151.957082825957,16914.001904457164,14137.80850031997
2014-03-05,18259.0,16634.0,16410.31665866375,20304.66,15385.163475325968,16318.74228409287,14434.441237163148
2014-03-06,17357.0,13207.31,15763.19728811211,22210.5,17259.041364351127,17772.782365800347,16305.968707571295
2014-03-07,13207.31,16335.0,16963.79889960944,24361.65,18603.53444195501,18749.12456723588,19693.037433353842
2014-03-08,21100.0,17062.0,19998.69275061166,20771.4027,22932.711683443005,23080.410750694115,20506.768801022845
2014-03-09,16600.0,19403.0,20886.59378196868,22185.0,19017.178377489457,19592.325270254772,16341.467597077848
2014-03-10,18199.0,16336.0,16202.902231664539,20120.5,17919.748874790526,17287.801940819547,15220.813216781866
2014-03-11,14524.0,14575.0,16758.573288951957,19904.98,15235.929865470214,15720.857528153825,14083.890034164142
2014-03-12,17472.0,18259.0,16757.181254190105,19697.15,15469.136257970225,14502.339372329374,14247.361045613352
2014-03-13,14326.0,17357.0,17697.333518134685,19589.44,17343.014146995385,16474.724296169974,17540.64346270795
2014-03-14,19386.0,13207.31,16710.59564492112,23736.29,18687.507224599267,17854.336601299605,18228.655383479825
2014-03-15,18961.0,21100.0,24588.671453932788,28431.31,23016.684466087267,23646.83782698595,21008.07257845328
2014-03-16,19805.0,16600.0,23419.475965412385,22949.65,19101.151160133715,20604.24462743199,15831.659259594522
2014-03-17,19968.0,18199.0,19736.005033541776,21390.3,18003.721657434784,18186.16528673065,15077.442562321397
2014-03-18,18106.0,14524.0,15914.323231716171,19994.08,15319.902648114472,14857.106395381259,15205.61719782763
2014-03-19,18025.0,17472.0,17654.282821118955,18950.38,15553.109040614483,15016.2282858995,14127.409082187814
2014-03-20,15900.0,14326.0,16232.541346484353,20961.7,17426.986929639643,16409.190799643206,17092.452886342493
2014-03-21,21299.0,19386.0,17538.853538282197,26226.85,18771.480007243525,17513.557994382074,18223.773421566926
2014-03-22,23863.0,18961.0,20312.26891158586,21834.9927,23100.65724873152,22395.973987046287,20358.654132426454
2014-03-23,15382.0,19805.0,19473.39576002108,22556.58,19185.123942777973,18729.671629379376,16281.811103998181
2014-03-24,15973.0,19968.0,16990.986361532618,18758.24,18087.69444007904,17474.324384511434,15246.66470967103
2014-03-25,14938.0,18106.0,17505.162939747326,20046.67,15403.87543075873,16363.751223610461,15492.986909918212
2014-03-26,18242.0,18025.0,17442.325065914803,19642.85,15637.08182325874,16284.779500531951,14713.251522730205
2014-03-27,14464.0,15900.0,16260.387634298246,19384.45,17510.9597122839,17729.08271802117,17335.294987799207
2014-03-28,22920.0,21299.0,18065.936478407515,28734.57,18855.452789887782,19120.40294244297,19953.44876121817
2014-03-29,22832.0,23863.0,20924.05641742894,22151.68,23184.630031375782,23498.468010988214,21411.2936341668
2014-03-30,20560.0,15382.0,19974.913240394206,20470.77,19269.09672542223,21594.724187976808,17520.600738817575
2014-03-31,15972.0,15973.0,16898.77662062811,19797.75,18171.6672227233,19876.568966918254,14788.565587477095
2014-04-01,14277.0,14938.0,17318.893752595817,19179.23,15487.848213402987,18258.091985066847,15667.41470133061
2014-04-02,15000.0,18242.0,18873.263141068004,19174.02,15721.054605902998,18265.892515546857,14515.131447960754
2014-04-03,15554.0,14464.0,18001.729249349813,21236.63,17594.932494928158,20029.71144219269,17686.9349566301
2014-04-04,17937.0,22920.0,18597.21861511363,27781.9,18939.42557253204,19945.3939083704,19007.282960393775
2014-04-05,20008.0,22832.0,22712.944537283583,24517.4,23268.602814020036,25295.31656028398,20946.901333123104
2014-04-06,20577.0,20560.0,21242.148262539784,23943.07,19353.06950806649,21621.01179034459,15811.616469073357
2014-04-07,17076.0,15972.0,18347.496162072486,19555.0,18255.640005367557,20736.786127208197,15541.95126238583
2014-04-08,16715.0,14277.0,17184.407901765422,19963.86,15571.820996047245,18281.018699320764,14694.366369416295
2014-04-09,19202.0,15000.0,18082.743512981866,19374.91,15805.027388547256,18135.296331710448,14996.423612792914
2014-04-10,17958.0,15554.0,17463.91214497265,19072.96,17678.905277572416,18889.26625500002,17443.917356558384
2014-04-11,19253.0,17937.0,19183.748055740223,20317.0,19023.398355176298,20326.303054423635,17853.722421105747
2014-04-12,20397.0,20008.0,21669.93437755279,23211.7427,23352.57559666429,24082.9842147116,19805.10532590007
2014-04-13,18385.0,20577.0,22026.794998291425,20733.48,19437.042290710746,20603.449634505876,15958.625443224773
2014-04-14,19212.0,17076.0,18982.696948440807,19464.07,18339.612788011815,19199.74093167302,14751.817047652185
2014-04-15,17678.0,16715.0,18508.00667297293,19404.56,15655.793778691503,16669.62199027269,14217.524356804199
2014-04-16,16510.0,19202.0,18993.46324002803,19267.53,15889.000171191514,15797.60833825235,14942.25127119581
2014-04-17,15194.0,17958.0,18291.601920722213,20729.05,17762.878060216673,16747.56338159678,16502.86003434162
2014-04-18,31237.0,19253.0,19893.206458014203,22637.09,19107.371137820555,18266.085667086973,19762.302647029173
2014-04-19,22523.0,20397.0,22937.065646929575,23136.2027,23436.54837930855,22490.19770138512,22662.546673883327
2014-04-20,15178.0,18385.0,20543.549177201792,21444.1,19521.015073355004,18031.77133559153,18011.956877122175
2014-04-21,18675.0,19212.0,18402.956036335156,19697.28,18423.585570656072,16347.113835227901,17697.846122001498
2014-04-22,20309.0,17678.0,17913.33361479811,20301.05,15739.76656133576,14157.006728495202,14511.878213727046
2014-04-23,16494.0,16510.0,18549.31361777511,20035.24,15972.972953835771,14246.520543661602,14725.15367488236
2014-04-24,17543.0,15194.0,17431.090076949713,19181.49,17846.85084286093,15182.788547686501,17305.57636526695
2014-04-25,21296.0,31237.0,22501.25084541252,23164.11,19191.343920464813,15948.232536291627,17712.33190806199
2014-04-26,24274.0,22523.0,23078.22058602042,24088.79,23520.521161952805,21020.675526379466,20021.312985189015
2014-04-27,22161.0,15178.0,21213.998784626885,21001.39,19604.98785599926,18194.33512655848,15527.356775131773
2014-04-28,21014.0,18675.0,18303.558110128095,19453.44,18507.55835330033,15875.927414554855,14808.220047010776
2014-04-29,19328.0,20309.0,18237.954883449078,19346.87,15823.739343980018,13623.897822426632,14489.639308934446
2014-04-30,16867.0,16494.0,17755.829439812987,20703.89,16056.94573648003,13952.897821944676,14099.831557076952
2014-05-01,18679.0,17543.0,19125.23568777198,20184.86,17930.82362550519,15928.371646575288,16851.67243774417
2014-05-02,16392.0,21296.0,20445.27437271757,22092.67,19275.31670310907,17374.59212439139,18103.839859314347
2014-05-03,21956.0,24274.0,23707.558329709434,22784.29,23604.493944597067,21942.26672908232,20232.4640885035
2014-05-04,19240.0,22161.0,23502.146404028208,22355.04,19688.96063864352,19296.975023224742,16226.232452714517
2014-05-05,18961.0,21014.0,19999.271038677125,19551.67,18591.531135944588,17837.604824379414,15518.887706053707
2014-05-06,15670.0,19328.0,19645.930937988996,19843.88,15907.712126624276,16322.774170318855,15250.529213409896
2014-05-07,14396.0,16867.0,19843.948199940984,20772.82,16140.918519124287,16969.368360860146,15106.04769926742
2014-05-08,17971.0,18679.0,19921.183612347784,19314.75,18014.796408149447,18455.279373949175,16276.34057082207
2014-05-09,18711.0,16392.0,19860.6715183481,20892.82,19359.28948575333,20461.373779603055,19837.199563386515
2014-05-10,20047.0,21956.0,23374.406254265927,24323.09,23688.46672724132,24749.83094472616,21546.027980794213
2014-05-11,17864.0,19240.0,22428.302200104947,20665.25,19772.933421287777,21863.243863912066,16493.30627716153
2014-05-12,17036.0,18961.0,20141.038546487576,21406.79,18675.503918588845,20905.52761738448,16031.291606543438
2014-05-13,17657.0,15670.0,19205.319522481717,18930.41,15991.684909268533,19347.167942850738,14468.131367139633
2014-05-14,17438.0,14396.0,18731.27392182222,20219.66,16224.891301768545,19311.35697475772,15798.722464755983
2014-05-15,19963.0,17971.0,19116.481060322774,20471.54,18098.769190793704,20501.24262686408,17279.3818686152
2014-05-16,19116.0,18711.0,23211.042795770736,23034.72,19443.262268397586,24041.114864607516,18770.940700915795
2014-05-17,18681.0,20047.0,23540.324165459395,24622.7027,23772.439509885582,27221.646224920987,20704.409794329546
2014-05-18,19472.0,17864.0,21392.23593499789,21056.6,19856.90620393203,23352.81242222097,15929.539339622264
2014-05-19,17653.0,17036.0,19654.65574442366,19369.01,18759.476701233103,22563.51473190116,15754.244846977625
2014-05-20,16835.0,17657.0,20213.75162100946,20754.92,16075.657691912791,20797.071594447196,14297.482754419247
2014-05-21,18700.0,17438.0,19289.06098859694,19739.59,16308.864084412802,20030.043016441,14735.30789647975
2014-05-22,17200.0,19963.0,20057.07345025691,20387.12,18182.741973437962,21350.048470332382,16907.676060497357
2014-05-23,19657.0,19116.0,20861.808572668946,21933.83,19527.235051041844,23101.882003508483,17997.184048703413
2014-05-24,34244.0,18681.0,23715.063961748114,23362.5427,23856.412292529836,27725.22036916179,36963.82328169882
2014-05-25,36847.0,19472.0,23391.88024242122,22999.47,19940.878986576292,23987.260946798553,32478.63241560622
2014-05-26,40717.0,17653.0,20338.92357186775,20905.85,18843.44948387736,22390.02561413717,32897.49718839256
2014-05-27,13207.31,16835.0,19822.766640640653,20518.22,16159.630474557049,20047.83670584877,15563.365766040108
2014-05-28,17066.0,18700.0,19613.034710434862,19140.03,16392.83686705706,19012.765713480512,15353.785564017895
2014-05-29,18508.0,17200.0,19823.903196078172,19526.12,18266.71475608222,20584.006418724144,17659.161491554958
2014-05-30,22131.0,19657.0,19765.908989791547,26809.25,19611.2078336861,21000.996851389475,19679.826989752873
2014-05-31,18069.0,34244.0,26023.464472523046,25087.83,23940.385075174097,24356.46576351368,20093.8205218538
2014-06-01,19682.0,36847.0,25395.321631577066,20918.24,20024.851769220546,21693.3700914955,16427.455907740212
2014-06-02,14396.0,40717.0,23604.460687530678,19907.19,18927.42226652162,19533.881553934494,15108.113491481705
2014-06-03,15672.0,13207.31,17768.467032455934,21442.25,16243.603257201306,19397.140694546855,14851.498411909257
2014-06-04,16300.0,17066.0,18216.297251223496,20459.81,16476.809649701318,18245.11067561887,15513.955629240938
2014-06-05,13810.0,18508.0,19400.280037301316,19612.24,18350.687538726477,19712.027964952416,17316.77890508093
2014-06-06,18916.0,22131.0,20295.685522666943,21477.18,19695.18061633036,20387.259062264835,19233.96677329941
2014-06-07,22092.0,18069.0,22078.849804053298,21197.96,24024.35785781835,24932.79111478406,21253.113754924645
2014-06-08,14497.0,19682.0,21890.375035035315,20248.3,20108.824551864804,20952.067055364263,15898.798070214292
2014-06-09,18312.0,14396.0,18275.0409682901,20146.49,19011.395049165876,19617.175914757718,16601.42110170773
2014-06-10,14557.0,15672.0,18708.068876412544,19001.56,16327.576039845564,17320.532046183907,15815.650166078498
2014-06-11,16077.0,16300.0,18816.62140927049,21625.83,16560.782432345575,16681.09476862,15393.20345542914
2014-06-12,15073.0,13810.0,19018.549908159916,22796.74,18434.660321370735,18459.909876526614,17601.00180806151
2014-06-13,19718.0,18916.0,19800.80879111213,21066.92,19779.153398974617,18874.062113452488,19562.519825491756
2014-06-14,19559.0,22092.0,22488.58886206414,21930.77,24108.330640462613,22598.69240540874,21111.63437834834
