Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX
2014-03-30,35916.0,29144.0,32514.95541127303,41348.95,29592.468411660135,29087.89216363801,-2365.7706884135023
2014-03-31,30372.0,28113.0,27458.399524303368,33189.93,25748.102023482556,25645.302278870367,-10397.58314859896
2014-04-01,24108.0,22878.0,27942.931215857225,32159.41,23495.180119692723,23528.71021420589,-3855.7047251119275
2014-04-02,26423.0,27539.0,30159.959428061193,32363.22,23637.820028673646,24834.599822548123,-8414.584525323262
2014-04-03,25788.0,24128.0,28842.84523621604,34404.15,25176.00419557686,25771.80087607773,-7425.475690036819
2014-04-04,28684.0,31896.0,31138.823180442352,36639.48,28046.24203823105,28126.201180613447,-4320.235154888554
2014-04-05,35827.0,40802.0,37707.173423102424,46530.19950000001,36315.47862893456,36284.54431258067,-304.8649451637539
2014-04-06,21735.0,35916.0,36583.21189854425,35410.31,29439.97455557716,30296.731041445626,-9121.101581918061
2014-04-07,20502.67,30372.0,30927.828600307417,33561.47,25595.608167399576,27072.53733390798,-12109.078488718627
2014-04-08,27845.0,24108.0,29435.80093252445,31782.1,23342.686263609747,24135.56831673737,-9104.846331700319
2014-04-09,27358.0,26423.0,28776.585533327085,31862.56,23485.32617259067,24258.047088302537,-10682.990190069464
2014-04-10,24175.0,25788.0,29209.97752227671,34295.68,25023.51033949388,25294.584465152333,-11181.085062493812
2014-04-11,28800.0,28684.0,30944.38375404999,37293.41,27893.74818214807,27909.21014731193,-9936.431293584179
2014-04-12,32487.0,35827.0,37144.370239643795,34704.26,36162.984772851574,35934.817918496185,-5902.07550461788
2014-04-13,35498.0,21735.0,33422.88719909774,41868.89,29287.480699494175,29994.158631326245,-12072.988099569186
2014-04-14,26955.0,20502.67,27876.979991930588,35539.02,25443.114311316596,25935.238953636388,-16984.837036772857
2014-04-15,32791.0,27845.0,30296.84372803492,32487.65,23190.192407526763,22448.772131231384,-13335.095185340551
2014-04-16,27527.0,27358.0,29773.464716491097,32600.52,23332.832316507687,22931.496696181697,-14046.230924744865
2014-04-17,30338.0,24175.0,30801.442384342176,35231.51,24871.016483410902,24534.03809738171,-16366.94140492021
2014-04-18,44844.0,28800.0,30276.331896127474,36840.43,27741.25432606509,25790.483980164096,-9281.057754226204
2014-04-19,36947.0,32487.0,35537.557431079156,38204.35,36010.4909167686,33916.896817827605,-3297.51582919266
2014-04-20,21268.0,35498.0,36516.593354835626,34780.82,29134.9868434112,27436.120201261754,-11120.173818668038
2014-04-21,33607.0,26955.0,29990.928344237116,34413.31,25290.620455233617,24158.614423843017,-14196.750095289304
2014-04-22,23092.0,32791.0,30047.304891359072,34690.44,23037.698551443787,19958.177077167347,-15983.212435030659
2014-04-23,32375.0,27527.0,30215.397764304136,32431.35,23180.33846042471,21668.951110956103,-17744.883559458027
2014-04-24,28846.0,30338.0,30077.94925617214,36941.69,24718.522627327922,22003.071583382974,-17970.851796003055
