lucro,staff,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
6545.0,20.0,0.0722,0,0,0.0005,6,0,0.0001,6,0,0.0015,0,0,0.0731,0,0,0.0,8,0,0.0009,0,0
6545.0,20.0,0.0659,0,0,0.0004,6,0,0.0005,6,0,0.0017,0,0,0.0518,0,0,0.0,8,0,0.0037,0,0
4900.0,19.0,0.0722,0,0,0.0004,6,0,0.0001,5,0,0.0016,0,0,0.0722,0,0,0.0,8,0,0.0008,0,0
4900.0,19.0,0.0715,0,0,0.0005,6,0,0.0001,5,0,0.0016,0,0,0.0524,0,0,0.0,8,0,0.0048,0,0
3220.0,18.0,0.0722,0,0,0.0005,4,0,0.0002,6,0,0.0015,0,0,0.0731,0,0,0.0,8,0,0.0007,0,0
3220.0,18.0,0.0722,0,0,0.0005,4,0,0.0002,6,0,0.0015,0,0,0.0731,0,0,0.0,8,0,0.0007,0,0
1575.0,17.0,0.0723,0,0,0.0004,6,0,0.0001,2,0,0.0016,1,0,0.0374,0,0,0.0001,8,0,0.0008,0,0
1575.0,17.0,0.0659,0,0,0.0004,3,0,0.0001,5,0,0.001,1,0,0.0529,0,0,0.0001,8,0,0.0009,0,0
-70.0,16.0,0.0659,0,0,0.0004,6,0,0.0005,2,0,0.0017,0,0,0.0518,0,0,0.0,8,0,0.0037,0,0
-70.0,16.0,0.0659,0,0,0.0004,6,0,0.0001,2,0,0.001,0,0,0.0712,0,0,0.0001,8,0,0.0009,0,0
-1750.0,15.0,0.0659,0,0,0.0004,4,0,0.0001,2,0,0.001,1,0,0.0526,0,0,0.0,8,0,0.0009,0,0
