lucro,staff,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
20720.0,25.0,0.03,0,0,0.0149,8,0,0.017,1,0,0.0148,8,0,0.015,0,0,0.0149,8,0,0.0067,0,0
18865.0,24.0,0.03,0,0,0.0149,8,0,0.017,1,0,0.0148,8,0,0.015,0,0,0.0149,7,0,0.0067,0,0
18865.0,24.0,0.0182,0,0,0.0149,8,0,0.0148,0,0,0.0148,1,0,0.0148,7,0,0.0148,8,0,0.0148,0,0
17010.0,23.0,0.0302,0,0,0.0149,8,0,0.0175,0,0,0.0149,1,0,0.0148,7,0,0.0148,7,0,0.0151,0,0
17010.0,23.0,0.0393,0,0,0.0149,5,0,0.0169,1,0,0.0148,8,0,0.015,2,0,0.0149,7,0,0.015,0,0
15155.0,22.0,0.0393,0,0,0.0149,5,0,0.0149,0,0,0.0148,8,0,0.015,2,0,0.0149,7,0,0.0151,0,0
15155.0,22.0,0.0299,0,0,0.0149,5,0,0.017,1,0,0.0148,8,0,0.016,0,0,0.0149,8,0,0.0161,0,0
13335.0,21.0,0.019,0,0,0.0149,8,0,0.0169,1,0,0.0148,8,0,0.015,2,0,0.0149,2,0,0.0148,0,0
13335.0,21.0,0.0293,0,0,0.0149,8,0,0.0148,8,0,0.0148,1,0,0.0148,2,0,0.0149,2,0,0.015,0,0
11480.0,20.0,0.0295,0,0,0.0149,8,0,0.0161,1,0,0.0149,8,0,0.0162,1,0,0.0149,2,0,0.0058,0,0
11480.0,20.0,0.0295,0,0,0.0149,8,0,0.0161,1,0,0.0149,8,0,0.0162,1,0,0.0149,2,0,0.0058,0,0
9625.0,19.0,0.0304,0,0,0.0149,8,0,0.0169,1,0,0.0148,8,0,0.015,0,0,0.0149,2,0,0.0067,0,0
9625.0,19.0,0.03,0,0,0.0149,8,0,0.017,1,0,0.0148,8,0,0.015,0,0,0.0149,2,0,0.0067,0,0
7770.0,18.0,0.04,0,0,0.0149,8,0,0.017,1,0,0.0148,1,0,0.015,0,0,0.0148,8,0,0.0067,0,0
7770.0,18.0,0.04,0,0,0.0149,8,0,0.017,1,0,0.0148,1,0,0.015,0,0,0.0148,8,0,0.0067,0,0
5915.0,17.0,0.0313,0,0,0.0149,5,0,0.0148,8,0,0.0149,1,0,0.0148,1,0,0.0149,2,0,0.0148,0,0
5915.0,17.0,0.0313,0,0,0.0149,5,0,0.0148,8,0,0.0149,1,0,0.0148,1,0,0.0149,2,0,0.0148,0,0
4060.0,16.0,0.0308,0,0,0.0149,7,0,0.0152,0,0,0.0149,8,0,0.015,1,0,0.0152,0,0,0.0149,0,0
4060.0,16.0,0.0312,0,0,0.0149,7,0,0.0152,0,0,0.0149,8,0,0.015,1,0,0.0152,0,0,0.0149,0,0
2240.0,15.0,0.0301,0,0,0.0149,8,0,0.0166,1,0,0.0149,2,0,0.015,2,0,0.0149,2,0,0.015,0,0
385.0,14.0,0.0301,0,0,0.0149,8,0,0.0166,1,0,0.0149,1,0,0.015,2,0,0.0149,2,0,0.015,0,0
385.0,14.0,0.0301,0,0,0.0149,8,0,0.0166,1,0,0.0149,1,0,0.015,2,0,0.0149,2,0,0.0148,0,0
-1470.0,13.0,0.014,0,0,0.0149,8,0,0.0161,1,0,0.0149,1,0,0.0162,1,0,0.0149,2,0,0.0058,0,0
-1470.0,13.0,0.014,0,0,0.0149,8,0,0.0161,1,0,0.0149,1,0,0.0162,1,0,0.0149,2,0,0.0058,0,0
-3325.0,12.0,0.0299,0,0,0.0149,8,0,0.017,1,0,0.0154,1,0,0.015,0,0,0.0148,2,0,0.0072,0,0
-3325.0,12.0,0.03,0,0,0.0149,8,0,0.017,1,0,0.0154,1,0,0.015,0,0,0.0148,2,0,0.0072,0,0
-5180.0,11.0,0.03,0,0,0.0149,8,0,0.017,1,0,0.0154,0,0,0.015,0,0,0.0148,2,0,0.0072,0,0
-5180.0,11.0,0.03,0,0,0.0149,8,0,0.017,1,0,0.0154,0,0,0.015,0,0,0.0148,2,0,0.0072,0,0
-7035.0,10.0,0.0393,0,0,0.0149,8,0,0.0169,1,0,0.0149,1,0,0.015,0,0,0.0228,0,0,0.0038,0,0
-7035.0,10.0,0.0395,0,0,0.0149,8,0,0.0169,1,0,0.0149,1,0,0.015,0,0,0.0228,0,0,0.0038,0,0
-8890.0,9.0,0.0408,0,0,0.0149,5,0,0.0162,1,0,0.0148,1,0,0.015,0,0,0.0148,2,0,0.0072,0,0
-8890.0,9.0,0.0408,0,0,0.0149,5,0,0.0166,1,0,0.0148,1,0,0.015,0,0,0.0148,2,0,0.0072,0,0
-10745.0,8.0,0.0426,0,0,0.0149,5,0,0.0169,1,0,0.0148,0,0,0.015,2,0,0.0148,0,0,0.0148,0,0
-10745.0,8.0,0.0426,0,0,0.0149,5,0,0.0169,1,0,0.0148,0,0,0.015,2,0,0.0148,0,0,0.0148,0,0
-12600.0,7.0,0.0432,0,0,0.0149,7,0,0.0169,0,0,0.0343,0,0,0.0169,0,0,0.0149,0,0,0.015,0,0
-12600.0,7.0,0.0423,0,0,0.0149,7,0,0.0169,0,0,0.0336,0,0,0.0148,0,0,0.0149,0,0,0.015,0,0
-14455.0,6.0,0.0302,0,0,0.0149,5,0,0.0149,1,0,0.0149,0,0,0.015,0,0,0.0152,0,0,0.015,0,0
-14455.0,6.0,0.0302,0,0,0.0149,5,0,0.0161,1,0,0.0149,0,0,0.015,0,0,0.0152,0,0,0.015,0,0
-16310.0,5.0,0.0414,0,0,0.0149,5,0,0.0161,0,0,0.0149,0,0,0.017,0,0,0.0149,0,0,0.0151,0,0
-16310.0,5.0,0.0414,0,0,0.0149,5,0,0.0161,0,0,0.0149,0,0,0.017,0,0,0.0149,0,0,0.0151,0,0
