iteration,score,profit,units
281,7477435.0,79065.0,14318
282,7465220.0,79030.0,14311
283,7246540.0,77210.0,14185
284,7039935.0,75565.0,14066
285,6934025.0,76475.0,14006
286,6934025.0,76475.0,14006
287,6788040.0,75460.0,13922
288,6788040.0,75460.0,13922
289,6788040.0,75460.0,13922
290,6788040.0,75460.0,13922
291,6580945.0,74305.0,13803
292,6373815.0,73185.0,13684
293,6373815.0,73185.0,13684
294,6373815.0,73185.0,13684
295,6373815.0,73185.0,13684
296,6373815.0,73185.0,13684
297,6373815.0,73185.0,13684
298,5959555.0,70945.0,13446
299,5959555.0,70945.0,13446
300,5959555.0,70945.0,13446
301,5958575.0,71925.0,13446
302,5958575.0,71925.0,13446
303,5921580.0,72170.0,13425
304,5921580.0,72170.0,13425
305,5921580.0,72170.0,13425
306,5879965.0,71785.0,13401
307,5879965.0,71785.0,13401
308,5879965.0,71785.0,13401
309,5672835.0,70665.0,13282
310,5624360.0,70140.0,13254
311,5624360.0,70140.0,13254
312,5623520.0,70980.0,13254
313,5623520.0,70980.0,13254
314,5623520.0,70980.0,13254
315,5623520.0,70980.0,13254
316,5623520.0,70980.0,13254
317,5466965.0,70035.0,13164
318,5466965.0,70035.0,13164
319,5466965.0,70035.0,13164
320,5466965.0,70035.0,13164
321,5112695.0,67305.0,12960
322,4956420.0,66080.0,12870
323,4956420.0,66080.0,12870
324,4956105.0,66395.0,12870
325,4749500.0,64750.0,12751
326,4749500.0,64750.0,12751
327,4749500.0,64750.0,12751
328,4749500.0,64750.0,12751
329,4572715.0,63035.0,12649
330,4572715.0,63035.0,12649
331,4365585.0,61915.0,12530
332,4365585.0,61915.0,12530
333,4365585.0,61915.0,12530
334,4365585.0,61915.0,12530
335,4365585.0,61915.0,12530
336,4053105.0,59395.0,12350
337,4053105.0,59395.0,12350
338,4053105.0,59395.0,12350
339,4053105.0,59395.0,12350
340,4053105.0,59395.0,12350
341,4053035.0,59465.0,12350
342,3875900.0,58100.0,12248
343,3669330.0,56420.0,12129
344,3669330.0,56420.0,12129
345,3669330.0,56420.0,12129
346,3669330.0,56420.0,12129
347,3669330.0,56420.0,12129
348,3669330.0,56420.0,12129
349,3669330.0,56420.0,12129
350,3669330.0,56420.0,12129
351,3669330.0,56420.0,12129
352,3669330.0,56420.0,12129
353,3669330.0,56420.0,12129
354,3669330.0,56420.0,12129
355,3669330.0,56420.0,12129
356,3255105.0,54145.0,11891
357,3255105.0,54145.0,11891
358,3048500.0,52500.0,11772
359,2735320.0,50680.0,11592
360,2735320.0,50680.0,11592
361,2247875.0,48125.0,11312
362,2247875.0,48125.0,11312
363,2247875.0,48125.0,11312
364,2247875.0,48125.0,11312
365,2247875.0,48125.0,11312
366,2040780.0,46970.0,11193
367,2040430.0,47320.0,11193
368,2040430.0,47320.0,11193
369,2008930.0,47320.0,11175
370,2008930.0,47320.0,11175
371,2008930.0,47320.0,11175
372,2008930.0,47320.0,11175
373,2008930.0,47320.0,11175
374,2008930.0,47320.0,11175
375,2008930.0,47320.0,11175
376,1801800.0,46200.0,11056
377,1801800.0,46200.0,11056
378,1801800.0,46200.0,11056
379,1801800.0,46200.0,11056
380,1801800.0,46200.0,11056
381,1801800.0,46200.0,11056
382,1801800.0,46200.0,11056
383,1645560.0,44940.0,10966
384,1645560.0,44940.0,10966
385,1645560.0,44940.0,10966
386,1645560.0,44940.0,10966
387,1645560.0,44940.0,10966
388,1645560.0,44940.0,10966
389,1645560.0,44940.0,10966
390,1645560.0,44940.0,10966
391,1232385.0,41615.0,10728
392,1075830.0,40670.0,10638
393,869155.0,39095.0,10519
394,869155.0,39095.0,10519
395,692055.0,37695.0,10417
396,692055.0,37695.0,10417
397,359030.0,34720.0,10225
398,359030.0,34720.0,10225
399,359030.0,34720.0,10225
400,359030.0,34720.0,10225
401,359030.0,34720.0,10225
402,181895.0,33355.0,10123
403,181895.0,33355.0,10123
404,181895.0,33355.0,10123
405,181895.0,33355.0,10123
406,181895.0,33355.0,10123
407,181895.0,33355.0,10123
408,181895.0,33355.0,10123
409,181895.0,33355.0,10123
410,181895.0,33355.0,10123
411,181895.0,33355.0,10123
412,181895.0,33355.0,10123
413,-30590.0,30590.0,9919
414,-30590.0,30590.0,9919
415,-30590.0,30590.0,9919
416,-30590.0,30590.0,9919
417,-30590.0,30590.0,9919
418,-30590.0,30590.0,9919
419,-30590.0,30590.0,9919
420,-30590.0,30590.0,9919
421,-30590.0,30590.0,9919
422,-30590.0,30590.0,9919
423,-30590.0,30590.0,9919
424,-30590.0,30590.0,9919
425,-30590.0,30590.0,9919
426,-30590.0,30590.0,9919
427,-30590.0,30590.0,9919
428,-30590.0,30590.0,9919
429,-30590.0,30590.0,9919
430,-30590.0,30590.0,9919
431,-30590.0,30590.0,9919
432,-30590.0,30590.0,9919
433,-30590.0,30590.0,9919
434,-30590.0,30590.0,9919
435,-30590.0,30590.0,9919
436,-30590.0,30590.0,9919
437,-30590.0,30590.0,9919
438,-30590.0,30590.0,9919
439,-30590.0,30590.0,9919
440,-30590.0,30590.0,9919
441,-30590.0,30590.0,9919
442,-30590.0,30590.0,9919
443,-30590.0,30590.0,9919
444,-30590.0,30590.0,9919
445,-30590.0,30590.0,9919
446,-30590.0,30590.0,9919
447,-30730.0,30730.0,9919
448,-30730.0,30730.0,9919
449,-30730.0,30730.0,9919
450,-30730.0,30730.0,9919
451,-30730.0,30730.0,9919
452,-30730.0,30730.0,9919
453,-30730.0,30730.0,9919
454,-30730.0,30730.0,9919
455,-31325.0,31325.0,9919
456,-31325.0,31325.0,9919
457,-31325.0,31325.0,9919
458,-31325.0,31325.0,9919
